DAltkirch#Alsace#Alsace, France#48.3181795#7.4416241
Ballersdorf#Alsace#Rue de la Gare, 68210 Mertzen, France#47.5921091#7.1275935
Barr#Alsace#Rue de la Gare, 67140 Barr, France#48.4040168#7.4568148
Bartenheim#Alsace#Rue de la Gare, 68870 Bartenheim, France#47.6340428#7.4835008
Beinheim#Alsace#Rue de la Gare, France#48.900676#8.0456854
Benfeld#Alsace#Avenue de la Gare, 67230 Benfeld, France#48.3730551#7.5866311
Bischheim#Alsace#Rue de la Gare, 67300 Schiltigheim, France#48.6114435#7.7465081
Bischoffsheim#Alsace#Place de la Gare, 67870 Bischoffsheim, France#48.4874491#7.4973196
Bischwiller (Bas-Rhin)#Alsace#Rue de la Gare, 67240 Bischwiller, France#48.765973#7.8555475
Bitschwiller (Haut-Rhin)#Alsace#Rue de la Gare, 68620 Bitschwiller-lès-Thann, France#47.8273901#7.0788014
Bollwiller#Alsace#Rue de la Gare, 68540 Bollwiller, France#47.8588078#7.2639512
Bourg-Bruche#Alsace#Rue de la Gare, 67420 Saales, France#48.3473433#7.1084936
Breitenbach (Haut-Rhin)#Alsace#Rue de la Gare, 68380 Breitenbach-Haut-Rhin, France#48.0273829#7.1024627
Brumath#Alsace#Rue de la Gare, 67170 Brumath, France#48.7328906#7.7018125
Brunstatt#Alsace#Gare de Mulhouse-Ville, 68100 Mulhouse, France#47.7422382#7.3427296
Cernay (Haut-Rhin)#Alsace#Rue de la Gare, 68700 Cernay, France#47.8020792#7.1747533
Colmar#Alsace#Rue de la Gare, 68000 Colmar, France#48.0753833#7.3488318
Colmar Mésanges#Alsace#Alsace, France#48.3181795#7.4416241
Colmar-St-Joseph#Alsace#Rue Louis Joseph Gay-Lussac, 68000 Colmar, France#48.1045086#7.381248
Dachstein#Alsace#Rue de la Gare, 67120 Dachstein, France#48.542347#7.533488
Dambach-la-Ville#Alsace#Rue de la Gare, 67650 Dambach-la-Ville, France#48.3231716#7.4336119
Dannemarie#Alsace#Rue de la Gare, 68210 Dannemarie, France#47.6283606#7.1227968
Dettwiller#Alsace#Rue de la Gare, 67490 Dettwiller, France#48.7529149#7.4663801
Diemeringen#Alsace#Rue de la Gare, 67430 Diemeringen, France#48.9411585#7.1855993
Dorlisheim#Alsace#Avenue de la Gare, 67120 Dorlisheim, France#48.5242351#7.4941031
Drusenheim#Alsace#Ecole Primaire de la Gare, 4 Rue de la Gare, 67410 Drusenheim, France#48.7645552#7.9498738
Duppigheim#Alsace#Rue de la Gare, 67120 Duppigheim, France#48.5364623#7.5923965
Duttlenheim#Alsace#Rue de la Gare, 67120 Duttlenheim, France#48.5356299#7.5667677
Ebersheim#Alsace#Rue de la Gare, 67600 Ebersheim, France#48.3071177#7.4987682
Eichhoffen#Alsace#Rue de la Gare, 67140 Eichhoffen, France#48.3836686#7.4457435
Entzheim#Alsace#Rue de la Gare, 67980 Hangenbieten, France#48.5494872#7.6186529
Epfig#Alsace#Rue de la Gare, 67680 Epfig, France#48.3634072#7.4507891
Erstein#Alsace#Avenue de la Gare, 67150 Erstein, France#48.4207345#7.650091
Fegersheim-Lipsheim#Alsace#Rue de la Gare, 67640 Lipsheim, France#48.4910873#7.6699755
Fellering#Alsace#Rue de la Gare, 68470 Fellering, France#47.8882319#6.9949103
Flaxlanden#Alsace#Rue de la Gare, 68720 Zillisheim, France#47.6944877#7.2938092
Fouday#Alsace#Fouday, France#48.4206667#7.1856951
Gambsheim#Alsace#Rue de la Gare, 67760 Gambsheim, France#48.6945432#7.8821375
Geispolsheim#Alsace#Rue de la Gare, 67118 Geispolsheim, France#48.5174657#7.6765565
Gertwiller#Alsace#Rue de la Gare, 67140 Gertwiller, France#48.4123387#7.4672455
Goxwiller#Alsace#Rue de la Gare, 67210 Goxwiller, France#48.4327895#7.4813141
Graffenstaden#Alsace#Rue de la Gare, 67118 Geispolsheim, France#48.5174657#7.6765565
